-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      99.072us         0.31%      99.072us       6.192us           0 b           0 b           0 b           0 b            16  
                                           aten::arange         0.24%     459.492us         0.86%       1.662ms      17.679us      48.836us         0.15%      97.672us       1.039us           0 b           0 b      47.00 Kb           0 b            94  
                                            aten::fill_         0.15%     280.037us         0.33%     632.999us      10.048us      94.595us         0.29%      94.595us       1.502us           0 b           0 b           0 b           0 b            63  
                                            aten::rsqrt         0.19%     365.533us         0.34%     659.439us      10.636us      81.280us         0.25%      81.280us       1.311us           0 b           0 b      31.00 Kb      31.00 Kb            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      81.280us         0.25%      81.280us       1.311us           0 b           0 b           0 b           0 b            62  
                                          aten::one_hot         0.05%     102.809us         0.36%     701.132us      46.742us       0.000us         0.00%      78.403us       5.227us           0 b           0 b      92.45 Mb           0 b            15  
                                           aten::square         0.04%      86.472us         0.51%     992.764us      16.012us       0.000us         0.00%      75.840us       1.223us           0 b           0 b      31.00 Kb           0 b            62  
                                               aten::to         0.09%     174.801us         0.30%     587.386us       0.972us       0.000us         0.00%      64.578us       0.107us           0 b           0 b      46.43 Mb           0 b           604  
                                         aten::_to_copy         0.08%     152.534us         0.21%     412.585us      27.506us       0.000us         0.00%      64.578us       4.305us           0 b           0 b      46.43 Mb           0 b            15  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      64.578us         0.20%      64.578us       4.305us           0 b           0 b           0 b           0 b            15  
                                             aten::item         0.03%      51.620us         0.38%     736.796us      23.768us       0.000us         0.00%      51.423us       1.659us           0 b           0 b           0 b           0 b            31  
                              aten::_local_scalar_dense         0.10%     188.621us         0.36%     685.176us      22.102us      51.423us         0.16%      51.423us       1.659us           0 b           0 b           0 b           0 b            31  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      51.423us         0.16%      51.423us       1.659us           0 b           0 b           0 b           0 b            31  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.929us         0.15%      48.929us       1.041us           0 b           0 b           0 b           0 b            47  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      48.836us         0.15%      48.836us       1.039us           0 b           0 b           0 b           0 b            47  
                                            aten::zeros         0.03%      64.141us         1.34%       2.575ms     160.939us       0.000us         0.00%      45.666us       2.854us           0 b           0 b      92.45 Mb           0 b            16  
                                            aten::zero_         0.03%      51.493us         0.13%     251.614us      15.726us       0.000us         0.00%      45.666us       2.854us           0 b           0 b           0 b           0 b            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 192.833ms
Self CUDA time total: 32.459ms
